x,y
1,11
2,15
3,10
4,12
5,8
6,17
7,11
8,11
9,13
10,14
11,10
12,14
13,15
14,16
15,6
16,12
17,9
18,6
19,7
20,11
21,13
22,17
23,9
24,15
25,14
26,20
27,11
28,17
29,16
30,8
31,19
32,11
33,6
34,11
35,9
36,8
37,12
38,17
39,12
40,10
41,13
42,19
43,15
44,8
45,12
46,8
47,13
48,14
49,12
50,7
51,11
52,13
53,11
54,17
55,12
56,13
57,9
58,13
59,15
60,16
61,15
62,9
63,13
64,13
65,14
66,15
67,12
68,12
69,8
70,9
71,9
72,9
73,14
74,18
75,10
76,5
77,16
78,16
79,14
80,16
81,9
82,12
83,4
84,6
85,14
86,18
87,5
88,9
89,7
90,8
91,11
92,17
93,7
94,11
95,6
96,12
97,13
98,10
99,19
100,8
101,12
102,8
103,11
104,15
105,19
106,13
107,9
108,13
109,19
110,9
111,6
112,14
113,6
114,12
115,9
116,12
117,10
118,14
119,9
120,8
121,8
122,16
123,10
124,9
125,10
126,7
127,10
128,10
129,14
130,12
131,14
132,13
133,11
134,11
135,17
136,17
137,12
138,14
139,16
140,12
141,9
142,11
143,20
144,5
145,13
146,13
147,12
148,12
149,10
150,9
151,14
152,14
153,12
154,10
155,19
156,7
157,13
158,14
159,10
160,15
161,11
162,11
163,12
164,19
165,11
166,9
167,11
168,15
169,7
170,10
171,10
172,14
173,13
174,12
175,13
176,16
177,9
178,9
179,10
180,10
181,20
182,8
183,8
184,13
185,12
186,19
187,7
188,5
189,15
190,13
191,12
192,14
193,8
194,8
195,14
196,18
197,14
198,8
199,10
200,20
